4a,02092013,23062017,26
4b,02092013,23062017,4
4c,02092013,23062017,12
4d,02092013,23062017,35
4a,01092014,22062018,20
4b,01092014,22062018,9
4c,01092014,22062018,8
4d,01092014,22062018,15
4a,01092015,21062019,17
4b,01092015,21062019,14
4c,01092015,21062019,29
4d,01092015,21062019,3
4a,01092016,26062020,19
4b,01092016,26062020,22
4c,01092016,26062020,13
4d,01092016,26062020,27
4a,03092017,25062021,26
4b,03092017,25062021,4
4c,03092017,25062021,12
4d,03092017,25062021,28
4a,02092018,24062022,9
4b,02092018,24062022,8
4c,02092018,24062022,15
4d,02092018,24062022,20
3a,02092019,,7
3b,02092019,,3
3c,02092019,,17
3d,02092019,,14
2a,01092020,,10
2b,01092020,,1
2c,01092020,,27
2d,01092020,,23
1a,01092021,,19
1b,01092021,,26
1c,01092021,,4
1d,01092021,,13
